TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PEAB4;48,50;0,67;40,64;1,33;1,05;81,61;36,95;45,24;49,76;40,18;-6,23;-0,17;18,39;3,71;-1,51;12,49;3,27;2,58;1,61;0,79;0,21;0,06;-34,50;-9,41;23.472,43;36,52;1,19;-0,34;855.316.511,50
PETR3;41,05;17,85;3,91;1,39;0,52;51,08;38,69;25,53;2,58;3,70;1,15;0,62;1,00;-73,76;-0,61;0,95;35,47;13,35;21,54;0,38;0,62;0,52;17,72;;483.549.253,95;29,59;10,50;-0,17;530.042.617.472,14
PETR4;40,08;18,28;3,82;1,35;0,51;51,08;38,69;25,53;2,52;3,70;1,15;0,62;0,97;-72,01;-0,60;0,95;35,47;13,35;21,54;0,38;0,62;0,52;17,72;;1.584.748.959,43;29,59;10,50;-0,17;530.042.617.472,14
PETZ3;3,95;0,27;57,03;1,01;0,46;46,61;4,46;1,02;13,06;12,95;-0,11;-0,01;0,58;2,82;-0,70;1,90;1,78;0,81;5,40;0,45;0,55;0,79;36,54;22,89;56.960.316,67;3,90;0,07;-1,22;1.826.967.832,90
PFRM3;5,58;;14,84;0,55;0,15;14,64;2,71;0,54;2,99;5,29;2,30;0,42;0,08;0,78;-0,50;1,37;3,69;0,99;10,16;0,27;0,67;1,82;13,77;;1.223.247,76;10,19;0,38;-0,32;690.875.273,34
PGMN3;3,03;9,76;-8,16;0,64;0,19;31,86;4,40;-1,83;3,40;5,90;2,50;0,47;0,15;1,15;-0,38;1,48;-7,86;-2,31;7,28;0,29;0,71;1,26;9,03;;4.452.523,95;4,72;-0,37;0,03;1.641.594.793,80
PINE3;8,61;3,88;12,80;1,85;0,09;15,73;8,85;7,58;10,97;8,44;;;0,97;;-0,09;;14,41;0,72;;0,05;0,95;0,10;8,44;;45.036,95;4,67;0,67;0,04;1.383.984.095,94
PINE4;4,60;7,26;6,84;0,99;0,05;15,73;8,85;7,58;5,86;8,44;;;0,52;;-0,05;;14,41;0,72;;0,05;0,95;0,10;8,44;;2.453.377,29;4,67;0,67;0,02;1.383.984.095,94
PLAS3;7,70;;6,66;-0,27;0,14;11,34;5,12;1,57;2,04;8,13;6,09;;0,10;-0,37;-0,20;0,43;-4,02;2,15;19,94;-0,54;1,54;1,38;16,19;;4.091,75;-28,77;1,16;-0,06;95.675.718,60
PLPL3;13,30;1,20;11,17;4,55;1,37;33,71;15,29;13,02;9,51;9,92;0,42;0,20;1,45;2,41;-9,56;2,96;40,72;12,27;22,01;0,30;0,68;0,94;;;10.327.643,71;2,92;1,19;0,08;2.716.604.800,00
PMAM3;3,75;;-0,07;-0,05;0,11;-57,20;-149,43;-297,02;-0,13;-2,40;-2,27;;0,20;-0,06;-0,16;0,15;-78,99;-166,84;427,96;-2,11;3,11;0,56;-10,58;;107.466,77;-70,80;-55,93;0,00;212.278.871,25
PNVL3;11,64;0,46;19,89;1,54;0,59;30,91;3,62;2,04;11,17;16,34;5,17;0,71;0,40;2,42;-1,45;1,71;7,73;2,99;6,90;0,39;0,61;1,47;12,06;8,04;4.645.859,95;7,57;0,59;6,51;1.750.393.878,84
PNVL4;18,62;;31,81;2,46;0,95;30,91;3,62;2,04;17,87;16,34;5,17;0,71;0,65;3,87;-2,31;1,71;7,73;2,99;6,90;0,39;0,61;1,47;12,06;8,04;;7,57;0,59;10,41;1.750.393.878,84
POMO3;6,71;3,46;7,97;1,89;0,83;21,68;11,16;12,41;8,87;11,89;1,44;0,31;0,99;2,57;-2,12;2,16;23,64;10,46;10,28;0,44;0,55;0,84;13,49;61,66;4.198.467,10;3,56;0,84;0,04;7.491.553.457,66
POMO4;8,59;3,87;10,21;2,41;1,07;21,68;11,16;12,41;11,35;11,89;1,44;0,31;1,27;3,29;-2,71;2,16;23,64;10,46;10,28;0,44;0,55;0,84;13,49;61,66;69.915.663,43;3,56;0,84;0,05;7.491.553.457,66
PORT3;17,38;3,64;19,26;3,33;1,33;44,66;27,84;16,78;11,61;15,34;3,73;1,07;3,23;-53,22;-1,54;0,85;17,27;6,89;10,67;0,40;0,60;0,41;7,48;11,50;8.421.449,62;5,22;0,90;0,35;7.647.007.082,00
POSI3;8,33;6,17;6,18;0,82;0,28;30,03;13,75;5,35;2,41;4,19;1,78;0,61;0,33;0,77;-1,45;1,83;13,21;4,58;17,99;0,35;0,65;0,86;21,15;;7.003.955,23;10,21;1,35;-0,79;1.181.194.000,00
POWE3;10,90;;23,92;0,99;0,38;6,82;3,52;2,59;17,55;10,60;-6,96;-0,39;0,62;6,57;-0,74;1,13;4,13;1,58;3,81;0,38;0,62;0,61;;;;11,02;0,46;-1,77;977.237.930,40
PPAR3;14,60;85,96;0,82;0,04;0,03;;;;1,03;-1,70;-2,73;-0,11;;0,37;-0,03;84,67;5,05;3,65;3,84;0,72;0,28;0,00;;37,08;;352,82;17,82;0,02;2.160.800,00
PPLA11;3,89;;-5.474,53;1.368,63;13,30;;;;-5.474,53;-5.474,53;;;;-10.949,05;-1.216,56;1,00;-25,00;-0,24;;0,01;0,99;0,00;;;1.463,43;0,00;0,00;46,32;10.949.050,74
PRIO3;44,11;0,16;8,63;3,05;1,38;62,28;55,18;44,93;7,03;8,51;1,48;0,64;3,88;32,02;-1,68;1,32;35,33;15,98;22,46;0,45;0,55;0,36;64,15;145,76;393.776.950,48;14,46;5,11;0,29;39.348.763.688,74
PRNR3;11,15;;-1.922,27;2,29;0,72;20,94;9,20;-0,03;5,61;7,54;1,93;0,79;0,52;4,33;-1,46;1,49;-0,12;-0,04;13,66;0,31;0,67;1,39;28,03;;3.495.939,41;4,86;-0,01;19,09;520.936.440,55
PSSA3;28,50;4,95;8,48;1,55;0,34;100,00;7,28;6,95;8,10;3,06;-5,03;-0,97;0,59;5,98;-1,00;1,09;18,33;3,97;11,13;0,22;0,78;0,57;10,41;14,57;59.695.096,90;18,34;3,36;0,09;18.427.702.710,00
PTBL3;5,90;3,56;-20,66;2,18;0,27;39,65;6,96;-1,89;5,61;11,46;5,85;2,27;0,39;-37,11;-0,45;0,98;-10,54;-1,33;9,19;0,13;0,87;0,70;16,49;;3.843.614,52;2,71;-0,29;0,17;831.822.627,40
PTCA11;0,00;;0,00;0,00;0,00;46,88;14,11;8,55;0,00;1,09;1,09;0,47;0,00;0,00;0,00;1,96;26,22;9,90;16,76;0,38;0,62;1,16;21,08;27,39;;28,81;7,55;0,00;0,00
PTCA3;0,00;;0,00;0,00;0,00;46,88;14,11;8,55;0,00;1,09;1,09;0,47;0,00;0,00;0,00;1,96;26,22;9,90;16,76;0,38;0,62;1,16;21,08;27,39;;28,81;7,55;0,00;0,00
